videoId,commentId,author,text,likes,publishedAt
sVYXzMsLEXA,UgyEz_Q6iMmmpGTDAkZ4AaABAg,@lanphuong7087,Thanh thế thanh tòng bạch lê,0,1682179728.869001
sVYXzMsLEXA,UgySJ7sSJ21N_-MVOfZ4AaABAg,@trinhmy4329,mình rấ thihchs cải ương và biết cải lương,0,1650643728.870006
sVYXzMsLEXA,UgyeALT100-VSuKxhnp4AaABAg,@chinhvo-sq4yu,Tuổi thơ của mọi người,0,1650643728.871209
sVYXzMsLEXA,Ugzgty_raSe4Wrin1b14AaABAg,@haovinh7133,nghe xong làm việc hết mệt,0,1650643728.872395
sVYXzMsLEXA,Ugx9lrfSxGlIhSNy6_Z4AaABAg,@ThanhPhan-rf7hi,"Đoàn hát minh to nhất Sài Gòn rồi, tôi rất thích  hát bội",0,1745338128.873604
sVYXzMsLEXA,Ugy6Fd7okaDX1yrjreh4AaABAg,@SauNguyen-pj8cc,Nhớ lăm tuổi thơ,0,1650643728.874794
sVYXzMsLEXA,Ugyw3Wtjd0BR288EqkV4AaABAg,@hoangvlogs,Tiếc mục hát bội pha cải lương xem rất hay và thú vị .mình củng rất thích xem biểu diển thể loại cải lương này,0,1650643728.876015
sVYXzMsLEXA,UgxxGorJYxy8BlA27Md4AaABAg,@anhduy7759,Trên cả tuyệt vời!!!!,0,1713802128.877241
sVYXzMsLEXA,UgwFDN-93zJaENdWsEl4AaABAg,@skysep8114,lâu rồi mới nghe cải lương,0,1650643728.878422
sVYXzMsLEXA,UgwyqRQBs_lm2QYSthF4AaABAg,@TrongNguyen-wg8qj,Bo mon tuong co mai luu truyen cho the he sau nay,1,1713802128.879643
sVYXzMsLEXA,UgzDtatk3Cof54UvHGV4AaABAg,@kieunuongtothi1711,"mua đẹp quá, nghệ sỹ gạo cọi có khác",0,1650643728.88084
sVYXzMsLEXA,Ugz5PrVyDOnme3R7q-Z4AaABAg,@hieuminh7267,cám ơn bạn đả chia sẽ,0,1650643728.882027
sVYXzMsLEXA,UgyC0tlg9L_nAsdBARx4AaABAg,@DungNguyen-t5o6k,Nghệ sĩ gạo cội diễn hay quá,0,1745338128.883227
sVYXzMsLEXA,Ugx25ve9rACK3Srh9iR4AaABAg,@KhanhNguyen-kb6xm,Quá thích.,0,1682179728.884405
sVYXzMsLEXA,Ugy9Y2TgK4a-e8LvTSx4AaABAg,@quehuong9035,"NHỚ CÁI THỜI CẢ XÓM CÓ 1 CÁI TV TRẮNG ĐEN, CHIỀU THỨ 7 LÀ CẢ XÓM GOM LẠI XEM CẢI LƯƠNG",3,1650643728.885582
sVYXzMsLEXA,UgxZ5EJcaxC0yS5R4jh4AaABAg,@toantranminh2374,Lâu lắm rồi mới được xem cãi lương,0,1650643728.886785
sVYXzMsLEXA,UgwSzxyAN9qIi55DBvJ4AaABAg,@NgocPham-nf7hm,Đoàn này có mở đoàn hát tuồng bình định hay tuong bac ra xem không à,0,1753200528.888328
sVYXzMsLEXA,UgyXsQRkn-pG9GySGgR4AaABAg,@tuyenkhanh9466,nói chung là tuyệt vời,0,1650643729.368654
sVYXzMsLEXA,Ugxgpa-M2AzseSw2y_F4AaABAg,@lenguyenthanhxuan,thật tuyệt vời,0,1682179729.369913
